Guess,A,B,C,E,G,M,Q,Y,All
A,15878,0,0,0,0,0,0,2097,17975
B,0,17372,0,0,0,0,1512,0,18884
C,0,46,17089,107,277,0,107,0,17626
E,81,101,0,17493,0,0,15,0,17690
G,0,36,490,0,17323,0,2040,0,19889
M,36,0,0,0,0,17375,0,2155,19566
Q,0,45,21,0,0,0,13894,45,14005
Y,1605,0,0,0,0,225,32,13303,15165
All,17600,17600,17600,17600,17600,17600,17600,17600,140800
