Guess,A,B,C,E,G,M,Q,Y,All
A,17591,0,0,0,0,41,0,0,17632
B,0,17518,0,0,0,0,0,0,17518
C,9,0,17515,0,1068,0,3,38,18633
E,0,4,0,17600,0,0,0,0,17604
G,0,0,85,0,16532,0,5,0,16622
M,0,0,0,0,0,17532,42,0,17574
Q,0,78,0,0,0,0,17502,0,17580
Y,0,0,0,0,0,27,48,17562,17637
All,17600,17600,17600,17600,17600,17600,17600,17600,140800
