Guess,A,B,C,E,G,M,Q,Y,All
A,1233,0,0,0,0,36,112,0,1381
B,3347,14840,1713,4241,6412,7940,2235,685,41413
C,2159,0,8166,582,3114,0,6043,5705,25769
E,1492,1925,2140,12091,1497,0,189,3105,22439
G,1807,427,298,1,2726,6343,2005,38,13645
M,2889,0,0,0,0,3278,1102,0,7269
Q,107,0,0,0,0,0,5070,0,5177
Y,4566,408,5283,685,3851,3,844,8067,23707
All,17600,17600,17600,17600,17600,17600,17600,17600,140800
