Guess,A,B,C,E,G,M,Q,Y,All
A,17600,130,9976,0,0,0,0,414,28120
B,0,15231,0,0,0,0,0,0,15231
C,0,0,7202,0,0,0,80,0,7282
E,0,4,0,17600,0,0,0,0,17604
G,0,0,422,0,17600,0,16,0,18038
M,0,2173,0,0,0,17600,3120,1654,24547
Q,0,0,0,0,0,0,14384,0,14384
Y,0,62,0,0,0,0,0,15532,15594
All,17600,17600,17600,17600,17600,17600,17600,17600,140800
