Guess,A,B,C,E,G,M,Q,Y,All
A,15542,0,0,0,0,0,0,8167,23709
B,0,10876,415,0,318,0,0,0,11609
C,204,91,8193,13493,1018,0,111,15,23125
E,0,0,0,3304,0,6,0,0,3310
G,207,6273,7993,0,15630,0,11443,1,41547
M,0,0,0,0,0,16814,0,0,16814
Q,0,0,0,0,0,369,5046,0,5415
Ruin,1145,360,999,803,634,411,1000,1193,6545
Y,502,0,0,0,0,0,0,8224,8726
All,17600,17600,17600,17600,17600,17600,17600,17600,140800
